Wall time,Step,Value
1762446364.3743966,360,0.0
1762446364.4302573,600,0.0
1762446364.4742303,792,0.0
1762446364.535388,1056,0.0
1762446364.5927494,1296,0.0
1762446364.62323,1416,0.0
1762446364.69053,1704,0.0
1762446364.7366707,1896,0.0
1762446364.8207698,2256,0.0
1762446364.8556042,2400,0.0
1762446364.9228783,2688,0.0
1762446364.9571671,2832,0.0
1762446365.0081491,3048,0.0
1762446365.0536978,3240,0.0
1762446365.1158247,3504,0.0
1762446365.1602368,3696,0.0
1762446365.1949155,3840,0.0
1762446365.2509656,4080,0.0
1762446365.3019996,4296,0.0
1762446365.352617,4512,0.0
1762446365.4034073,4728,0.0
1762446365.4595447,4968,0.0
1762446365.5063248,5160,0.0
1762446365.5511632,5352,0.0
1762446365.6023839,5568,0.0
1762446365.6304734,5688,0.0
1762446365.6932192,5952,0.0
1762446365.7597501,6240,0.0
1762446365.8164263,6480,0.0
1762446365.8561337,6648,0.0
1762446365.9409637,6984,0.0
1762446365.992122,7200,0.0
1762446366.0267508,7344,0.0
1762446366.0776029,7560,0.0
1762446366.1351984,7800,0.0
1762446366.1911929,8040,0.0
1762446366.219387,8160,0.0
1762446366.2764218,8400,0.0
1762446366.326492,8616,0.0
1762446366.3770537,8832,0.0
1762446366.4342666,9072,0.0
1762446366.4960845,9336,0.0
1762446366.5326374,9480,0.0
1762446366.5857074,9696,0.0
1762446366.6365252,9912,0.0
1762446367.2429507,10152,0.0
1762446367.3824906,10296,0.0
1762446367.58407,10536,0.0
1762446367.7227695,10704,0.0
1762446367.9248745,10944,0.0
1762446368.135228,11184,0.0
1762446368.3129,11400,0.0
1762446368.4713726,11592,0.0
1762446368.643269,11784,0.0
1762446368.8724134,12048,0.0
1762446368.998519,12168,0.0
1762446369.2842722,12432,0.0
1762446369.4034464,12576,0.0
1762446369.5976071,12816,0.0
1762446369.7547889,13008,0.0
1762446369.9556813,13248,0.0
1762446370.1186554,13440,0.0
1762446370.285427,13632,0.0
1762446370.5696313,13968,0.0
1762446370.7108076,14136,0.0
1762446370.8895655,14352,0.0
1762446371.09463,14592,0.0
1762446371.314052,14856,0.0
1762446371.5341752,15120,0.0
1762446371.7368898,15360,0.0
1762446372.0389278,15720,0.0
1762446372.2367375,15960,0.0
1762446372.3956947,16152,0.0
1762446372.696255,16512,0.0
1762446372.891093,16752,0.0
1762446373.2002828,17136,0.0
1762446373.4500787,17448,0.0
1762446373.7423203,17808,0.0
1762446373.976821,18096,0.0
1762446374.2473462,18432,0.0
1762446374.5399559,18792,0.0
1762446374.9230814,19272,0.0
1762446375.1535954,19560,0.0
1762446375.5587993,20064,0.0
1762446375.8505666,20424,0.0
1762446376.2173955,20880,0.0
1762446376.7430775,21528,0.0
1762446377.1330094,22008,0.0
1762446377.5624666,22536,0.0
1762446378.1941898,23328,0.0
1762446378.6437879,23880,0.0
1762446379.3163464,24720,0.0
1762446379.8955607,25440,0.0
1762446380.5645447,26280,0.0
1762446381.031872,26856,0.0
1762446381.901675,27912,0.0
1762446382.4377067,28560,0.0
1762446383.1054049,29376,0.0
1762446383.9507613,30408,0.0
1762446384.6020534,31200,0.0
1762446385.6048653,32424,0.0
1762446386.6526532,33696,0.0
1762446387.4886997,34680,0.0
1762446388.7759087,36240,0.0
1762446389.640796,37320,0.0
1762446390.6972506,38592,0.0
1762446392.1514242,40344,0.0
1762446393.390805,41832,0.0
1762446394.55592,43224,0.0
1762446396.6724548,45816,0.0
1762446397.7575834,47184,0.0
1762446398.8167763,48480,0.0
1762446400.884951,51000,0.0
1762446403.5532656,54264,0.0
1762446404.9041457,55920,0.0
1762446406.7299883,58152,0.0
1762446409.6981885,61728,0.0
1762446411.2594407,63768,0.0
1762446413.1073825,66000,0.0
1762446415.3790324,68784,0.0
1762446417.6712446,71592,0.0
1762446419.8682687,74256,0.0
