Wall time,Step,Value
1762446364.3744216,360,10.0
1762446364.4302807,600,20.0
1762446364.474255,792,30.0
1762446364.5354116,1056,40.0
1762446364.5927722,1296,51.0
1762446364.6232545,1416,60.0
1762446364.6905537,1704,70.0
1762446364.7366946,1896,80.0
1762446364.8207936,2256,93.0
1762446364.855629,2400,100.0
1762446364.9229033,2688,112.0
1762446364.957192,2832,122.0
1762446365.0081742,3048,131.0
1762446365.0537221,3240,141.0
1762446365.1158497,3504,150.0
1762446365.1602628,3696,161.0
1762446365.1949399,3840,170.0
1762446365.2509904,4080,180.0
1762446365.3020241,4296,190.0
1762446365.3526406,4512,200.0
1762446365.403432,4728,211.0
1762446365.4595695,4968,221.0
1762446365.50635,5160,230.0
1762446365.5511878,5352,240.0
1762446365.6024075,5568,252.0
1762446365.6304977,5688,260.0
1762446365.693244,5952,270.0
1762446365.7597737,6240,280.0
1762446365.8164506,6480,290.0
1762446365.8561583,6648,300.0
1762446365.940988,6984,311.0
1762446365.9921463,7200,320.0
1762446366.0267742,7344,330.0
1762446366.077627,7560,340.0
1762446366.1352222,7800,352.0
1762446366.1912177,8040,360.0
1762446366.2194118,8160,370.0
1762446366.2764459,8400,381.0
1762446366.3265173,8616,390.0
1762446366.377079,8832,400.0
1762446366.4342906,9072,410.0
1762446366.4961076,9336,421.0
1762446366.5326612,9480,430.0
1762446366.5857315,9696,440.0
1762446366.6365495,9912,450.0
1762446367.2429862,10152,462.0
1762446367.3825188,10296,471.0
1762446367.5840955,10536,481.0
1762446367.7227972,10704,490.0
1762446367.9248993,10944,501.0
1762446368.1352553,11184,510.0
1762446368.3129268,11400,521.0
1762446368.4713984,11592,530.0
1762446368.643294,11784,540.0
1762446368.8724515,12048,551.0
1762446368.998555,12168,562.0
1762446369.2842953,12432,570.0
1762446369.4034717,12576,580.0
1762446369.5976317,12816,590.0
1762446369.7548153,13008,601.0
1762446369.9557178,13248,610.0
1762446370.1186829,13440,620.0
1762446370.285453,13632,630.0
1762446370.5696573,13968,642.0
1762446370.7108335,14136,652.0
1762446370.8895917,14352,660.0
1762446371.0946572,14592,670.0
1762446371.3140786,14856,680.0
1762446371.5342014,15120,690.0
1762446371.7369163,15360,701.0
1762446372.0389535,15720,711.0
1762446372.2367642,15960,721.0
1762446372.3957229,16152,730.0
1762446372.6962795,16512,740.0
1762446372.8911173,16752,751.0
1762446373.2003067,17136,760.0
1762446373.450104,17448,770.0
1762446373.7423456,17808,781.0
1762446373.9768455,18096,790.0
1762446374.2473712,18432,800.0
1762446374.53998,18792,811.0
1762446374.923105,19272,820.0
1762446375.1536186,19560,830.0
1762446375.5588236,20064,841.0
1762446375.850591,20424,850.0
1762446376.2174685,20880,860.0
1762446376.7431028,21528,870.0
1762446377.1330333,22008,880.0
1762446377.562491,22536,890.0
1762446378.1942139,23328,900.0
1762446378.6438122,23880,910.0
1762446379.3163705,24720,921.0
1762446379.8955836,25440,930.0
1762446380.5645678,26280,940.0
1762446381.031896,26856,950.0
1762446381.9016984,27912,960.0
1762446382.4377306,28560,971.0
1762446383.1054277,29376,980.0
1762446383.9507854,30408,990.0
1762446384.6020784,31200,1000.0
1762446385.60489,32424,1010.0
1762446386.6526778,33696,1020.0
1762446387.4887235,34680,1030.0
1762446388.775932,36240,1040.0
1762446389.6408198,37320,1050.0
1762446390.6972787,38592,1060.0
1762446392.1514492,40344,1070.0
1762446393.390828,41832,1080.0
1762446394.5559437,43224,1090.0
1762446396.6724775,45816,1101.0
1762446397.7576065,47184,1110.0
1762446398.8167984,48480,1120.0
1762446400.8849742,51000,1130.0
1762446403.5532885,54264,1140.0
1762446404.9041672,55920,1150.0
1762446406.7300103,58152,1160.0
1762446409.698212,61728,1170.0
1762446411.259464,63768,1180.0
1762446413.107405,66000,1190.0
