Wall time,Step,Value
1762446364.3743217,360,13.800000190734863
1762446364.4301867,600,16.450000762939453
1762446364.4741576,792,17.299999237060547
1762446364.5353136,1056,19.125
1762446364.592679,1296,19.431371688842773
1762446364.6231568,1416,19.71666717529297
1762446364.6904597,1704,20.242856979370117
1762446364.7365937,1896,20.4375
1762446364.820697,2256,20.516128540039062
1762446364.8555315,2400,21.110000610351562
1762446364.9228053,2688,22.3700008392334
1762446364.9570935,2832,22.739999771118164
1762446365.0080762,3048,22.299999237060547
1762446365.0536122,3240,22.15999984741211
1762446365.1157522,3504,21.989999771118164
1762446365.160165,3696,22.100000381469727
1762446365.194845,3840,22.43000030517578
1762446365.2508917,4080,21.969999313354492
1762446365.3019247,4296,21.799999237060547
1762446365.3525412,4512,21.139999389648438
1762446365.4033318,4728,20.829999923706055
1762446365.4594727,4968,20.68000030517578
1762446365.5062394,5160,21.579999923706055
1762446365.5510902,5352,21.270000457763672
1762446365.6023154,5568,21.479999542236328
1762446365.6304042,5688,20.860000610351562
1762446365.693147,5952,20.049999237060547
1762446365.7596676,6240,20.649999618530273
1762446365.8163552,6480,21.1299991607666
1762446365.8560622,6648,21.489999771118164
1762446365.940754,6984,22.040000915527344
1762446365.9920466,7200,22.209999084472656
1762446366.0266764,7344,21.950000762939453
1762446366.0775304,7560,21.969999313354492
1762446366.1351285,7800,21.979999542236328
1762446366.1911213,8040,22.459999084472656
1762446366.219315,8160,22.65999984741211
1762446366.276345,8400,22.309999465942383
1762446366.326419,8616,22.1200008392334
1762446366.3769834,8832,21.770000457763672
1762446366.434193,9072,21.139999389648438
1762446366.4960055,9336,21.149999618530273
1762446366.532551,9480,21.049999237060547
1762446366.585633,9696,21.079999923706055
1762446366.6364517,9912,21.34000015258789
1762446367.2427385,10152,21.15999984741211
1762446367.3823044,10296,20.799999237060547
1762446367.5839076,10536,21.06999969482422
1762446367.7226126,10704,21.100000381469727
1762446367.9247253,10944,21.219999313354492
1762446368.1350608,11184,21.239999771118164
1762446368.3127458,11400,21.1299991607666
1762446368.471208,11592,20.979999542236328
1762446368.6431077,11784,21.260000228881836
1762446368.8722003,12048,20.81999969482422
1762446368.998328,12168,20.979999542236328
1762446369.284123,12432,21.229999542236328
1762446369.403297,12576,21.31999969482422
1762446369.5974479,12816,20.729999542236328
1762446369.754632,13008,20.469999313354492
1762446369.9555154,13248,20.649999618530273
1762446370.1184952,13440,20.5
1762446370.2852304,13632,20.649999618530273
1762446370.5694683,13968,20.709999084472656
1762446370.710649,14136,21.549999237060547
1762446370.8894112,14352,21.420000076293945
1762446371.0944486,14592,21.15999984741211
1762446371.3138928,14856,21.790000915527344
1762446371.5340211,15120,22.579999923706055
1762446371.7367287,15360,22.950000762939453
1762446372.038764,15720,22.850000381469727
1762446372.2365735,15960,23.93000030517578
1762446372.3955336,16152,24.920000076293945
1762446372.696102,16512,25.09000015258789
1762446372.8909428,16752,25.719999313354492
1762446373.2001302,17136,26.229999542236328
1762446373.4499211,17448,27.25
1762446373.7421608,17808,27.860000610351562
1762446373.9766653,18096,29.079999923706055
1762446374.2471926,18432,30.1200008392334
1762446374.5398014,18792,31.280000686645508
1762446374.922933,19272,31.34000015258789
1762446375.153449,19560,31.56999969482422
1762446375.5586307,20064,33.470001220703125
1762446375.8504121,20424,34.939998626708984
1762446376.2170434,20880,36.060001373291016
1762446376.742894,21528,37.630001068115234
1762446377.1328573,22008,39.88999938964844
1762446377.5622826,22536,40.81999969482422
1762446378.1940367,23328,42.77000045776367
1762446378.6436174,23880,45.84000015258789
1762446379.316194,24720,49.459999084472656
1762446379.895402,25440,52.40999984741211
1762446380.5643964,26280,57.040000915527344
1762446381.0317192,26856,60.65999984741211
1762446381.901525,27912,64.94999694824219
1762446382.437548,28560,68.41999816894531
1762446383.1052468,29376,71.06999969482422
1762446383.95058,30408,74.87999725341797
1762446384.6018977,31200,78.76000213623047
1762446385.6046772,32424,81.73999786376953
1762446386.6524866,33696,86.44999694824219
1762446387.4885492,34680,90.47000122070312
1762446388.7757566,36240,92.4800033569336
1762446389.6406415,37320,98.06999969482422
1762446390.6970778,38592,101.77999877929688
1762446392.151276,40344,106.76000213623047
1762446393.3906512,41832,112.72000122070312
1762446394.5557423,43224,121.48999786376953
1762446396.672276,45816,129.75
1762446397.7574215,47184,138.1300048828125
1762446398.8166306,48480,144.02999877929688
1762446400.8847995,51000,150.72999572753906
1762446403.553087,54264,158.1699981689453
1762446404.9039698,55920,169.13999938964844
1762446406.7298167,58152,180.47999572753906
1762446409.698029,61728,191.3000030517578
1762446411.2592983,63768,201.97000122070312
1762446413.1072361,66000,215.41000366210938
1762446415.3788834,68784,218.67999267578125
1762446417.6710591,71592,226.30999755859375
1762446419.8681033,74256,230.14999389648438
1762446421.5692945,76368,242.16000366210938
1762446424.245537,79680,250.0
1762446426.0420766,81840,249.6199951171875
1762446429.6524076,86256,254.4199981689453
1762446431.620562,88680,265.760009765625
1762446433.3405018,90792,267.1099853515625
1762446436.2311203,94368,265.9100036621094
1762446439.325381,98160,277.95001220703125
1762446441.9026384,101280,277.7200012207031
1762446444.1386452,103920,297.1400146484375
1762446447.5358858,107952,303.7699890136719
1762446448.9182346,109608,308.45001220703125
1762446451.7193193,112896,314.3399963378906
1762446453.8053584,115440,314.3800048828125
1762446457.2641869,119616,310.739990234375
1762446460.7659304,123888,312.3399963378906
1762446464.262096,128136,319.3800048828125
1762446466.6438205,130992,332.0299987792969
1762446470.399636,135552,342.4100036621094
1762446472.210961,137712,339.7900085449219
1762446474.0308144,139920,336.6300048828125
1762446475.2989357,141456,333.9800109863281
1762446478.3267448,145128,324.0400085449219
1762446479.9535816,147072,324.2200012207031
1762446482.0302536,149616,316.92999267578125
1762446484.8723187,153072,312.7200012207031
1762446486.4509087,154968,302.7200012207031
1762446488.572575,157536,287.94000244140625
1762446490.0652583,159432,264.9700012207031
1762446492.010671,161856,252.91000366210938
1762446493.7723312,164040,240.10000610351562
1762446494.891927,165432,237.63999938964844
1762446496.7841058,167784,236.57000732421875
1762446498.4244027,169800,225.8300018310547
1762446499.8729014,171576,226.0399932861328
1762446501.192694,173208,217.2100067138672
1762446503.0984051,175536,209.91000366210938
1762446504.1548855,176856,205.1199951171875
1762446505.8864503,178992,206.02000427246094
1762446506.7860887,180048,195.97000122070312
1762446508.266407,181800,191.85000610351562
1762446509.9346235,183816,181.88999938964844
1762446510.946582,185040,179.6999969482422
